,full_text
0,"['pastilah', 'anies', 'tidakk', 'punya', 'prestasi']"
1,"['suasana', 'pedesaan', 'memang', 'selalu', 'menyenangkan', 'udara', 'segar', 'rimbunnya', 'tumbuhan', 'hijau', 'sungai', 'jernih', 'penuh', 'ikanikan', 'kecil', 'besar', 'menarik', 'angin', 'dieng', 'gacoan', 'adidas', 'semalem', 'bukan', 'ordal', 'anies']"
2,"['program', 'anies', 'hanyalah', 'mengubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gacoan', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', '100m', 'views']"
3,"['anies', 'berbohong', 'nipu', 'rasa', 'bersalah']"
4,"['bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'sebut', 'lampung', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
5,"['sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
6,"['alesan', 'jelas', 'pak', 'anies', 'menjelaskan', 'sejelas', 'jelas', 'nyamasih', 'etidak', 'pahamdungu', 'berarti']"
7,"['wow', 'mantap', 'sekali', 'ini', 'artinya', 'bro', 'anies', 'menjadi', 'presiden', 'ri']"
8,"['dulu', 'belajar', 'majas', 'kelas', '8', 'smpsaya', 'paham', 'apa', 'dibilang', 'pak', 'anies', 'kalo', 'ga', 'paham', 'mungkin', 'mengenyam', 'kelas', '8']"
9,"['kasian', 'kiki', 'padahal', 'fakta', 'memang', 'si', 'anies', 'jago', 'berkata', 'kata', 'demi', 'menarik', 'simpati', 'padahal', 'implementasinya', 'dijamin', 'nol', 'cth', 'waktu', 'jd', 'mentri', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']"
10,"['anaknya', 'anies', 'cakep', 'bener', 'anak', 'capres', 'mukanya', 'ga', 'tengil']"
11,"['partai', 'mendukung', 'pak', 'anies', 'tdk', 'tahan', 'menjadi', 'oposisinasdem', 'pkb', 'tuh', 'msh', 'yang', 'jabat', 'mentri', 'imin', 'msh', 'jabat', 'wakil', 'ketua', 'dprri', 'nampaknya', 'betah', 'banget', 'dgn', 'kekuasaanmundur', 'dong']"
12,"['lah', 'juga', 'dulu', 'dukung', 'lebih', 'liberal', 'anies', 'hrs', 'lebih', 'anti', 'jokowipdip', 'sejak', 'kasus', 'ahok']"
13,"['asli', 'rada', 'hoream', 'euy', 'ceunah', 'kebebasan', 'berpendapat', 'sugan', 'teh', 'geus', 'balik', 'deui', 'jadi', 'anies', 'era', 'nurcholis', 'madjid', 'memorial', 'lecture']"
14,"['bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'sebut', 'lampung', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
15,"['sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
16,"['yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'pacarannya', 'eco', 'park', 'tebet', 'musuhin', 'aja']"
17,"['sayangnya', 'kebanyakan', 'msh', 'pendukung', 'anies', 'dateng', 'mas', 'baru', 'di', 'lampung', 'kemaren', 'berani', 'bgt', 'ya', 'juga', 'kayaknya', 'dibilang', 'takut', 'sih', 'kalo', 'hadepan', 'lgsg', 'buat', 'desak', 'anies', 'wkwk']"
18,"['anies', 'pks']"
19,"['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'bisnisnya', 'macet', 'gegara', 'jadi', 'oposisi']"
20,"['anies', 'ikut', 'menguburkan', 'harun', 'tahun', '2019', 'beritanya', 'apakah', 'dikatakan', 'hoax', 'padahal', 'beliau', 'ikut', 'penguburannya']"
21,"['anies', 'baswedan', 'menjawab', 'pertanyaan', 'debat', 'bukti', 'nyata', 'kinerja', 'sangat', 'memuaskan']"
22,"['anies', 'tuh', 'cerdas', 'terutama', 'soal', 'janji', 'transportasi', 'jaklingko', 'mau', 'rekrut', 'pak', 'iganisus', 'pemilih', 'sudah', 'banyak', 'tadi', 'nya', 'kurang', 'bijak', 'aja', 'harus', 'bawa', 'ulama', 'gimana', 'kalo', 'pendetapastorpemimpin', 'agama', 'juga', 'pertimbangkan', 'opini', 'nya', 'hanya', 'cuman', 'ulama']"
23,"['karakter', 'wowo', 'vs', 'anies', 'jauhlah', 'lah', 'bangmbok', 'legowo', 'ajaanies', 'simpati', 'publik', 'meluas', 'sedang', 'wowo', 'sebaliknyasesederhana', 'dipahaminyajgn', 'kita', 'jd', 'parasocial', 'relationship', 'disorder']"
24,"['kalau', 'ga', 'kerja', 'bidang', 'nya', 'jago', 'nyindir', 'orang', 'anies']"
25,"['paragraf', 'satu', 'udah', 'dijelasin', 'sama', 'pa', 'anies', 'sendiri', 'tonton', 'geh', 'videonya', 'biar', 'paham', 'konteks', 'ape2', 'ditelen', 'mentah2', 'paragraf', 'kedua', 'namanya', 'pamrih', 'katanya', 'paling', 'ikhlas', 'ko', 'diungkit', 'ko', 'nyapres', 'paragraf', 'ketiga', 'etika', 'katanya', 'bro', 'awokwokwok', 'mending', 'ngaca', 'dulu', 'dah']"
26,"['bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'sebut', 'lampung', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
27,"['sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
28,"['itu', 'anaknya', 'anies', 'emang', 'cantik', 'banget', 'senyumnya']"
29,"['anies', 'selalu', 'berkomitmen', 'mewujudkan', 'perubahan', 'positif', 'kebaikan', 'masyarakatnya', 'negaranya']"
30,"['kemenangan', 'anies', 'gub', 'dki', 'klaim', 'penuh', 'gerindra', 'baik', 'dukungan', 'modal', 'logistik', 'sungguh', 'kesombongan', 'menghilangkan', 'jasa2', 'partai2', 'relawan2', 'rakyat', 'dki', 'pilgub', 'dki', 'lebih', 'berjasa']"
