,full_text,tweet_english
0,pasti anies tidakk punya prestasi,anies must have no achievements
1,suasana desa memang selalu senang udara segar rimbun tumbuh hijau sungai jernih penuh ikanikan kecil besar tarik angin dieng gaco adidas semalem bukan ordal anies,village atmosphere is always happy lush fresh air growing green clear river full of small fish big wind pull dieng gaco adidas semalem not ordal anies
2,program anies hanya ubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,anies program only change the name of the hospital in Indonesia wkwk jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views
3,anies bohong nipu rasa salah,anies lie nipu rasa salah
4,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang pagi batter up 100m views pilih baik,speak according to the fact anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang morning batter up 100m views choose well
5,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up 100m views pilih baik,sindir anies baswedan apbd besar kok mas anies failed pimpin jakarta gaco anies earthquake daesang morning batter up 100m views choose well
6,alesan jelas pak anies jelas jelas jelas nyamasih etidak pahamdungu arti,alesan clear pak anies clear clear clear nyamasih etidakahamidungu arti
7,wow mantap sekali ini arti bro anies jadi presiden ri,wow great this means bro anies become president ri
8,dulu ajar majas kelas 8 smpsaya paham apa bilang pak anies kalo ga paham mungkin kenyam kelas 8,first teach the eighth grade of smpsaya understand what to say sir anies if you don't understand maybe eighth grade
9,kasi kiki padahal fakta memang si anies jago kata kata demi tarik simpati padahal implementasi jamin nol cth waktu jd tri gubernur aja kerja nya standar banget,kasi kiki even though the fact is that si anies are good at words for the sake of attracting sympathy even though the implementation of zero guarantee eg jd tri governor time is very standard work
10,anak anies cakep bener anak capres muka ga tengil,anak anies cakep bener anak capres muka ga tengil
11,partai dukung pak anies tdk tahan jadi oposisinasdem pkb tuh msh yang jabat tri imin msh jabat wakil ketua dprri nampaknya betah banget dgn kekuasaanmundur dong,the party in support of Pak Anies cannot stand being oposisinasdem pkb tuh msh yang dabat tri imin msh dabat vice-chairman of DPRRI seems to be at home with the power to step down dong
12,lah juga dulu dukung lebih liberal anies hrs lebih anti jokowipdip sejak kasus ahok,well also used to support more liberal anies hrs more anti jokowipdip since ahok case
13,asli rada hoream euy ceunah bebas dapat sugan teh geus balik deui jadi anies era nurcholis madjid memorial lecture,original rada hoream euy ceunah free can sugan teh geus balik deui so anies era nurcholis madjid memorial lecture
14,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang pagi batter up 100m views pilih baik,speak according to the fact anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang morning batter up 100m views choose well
15,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up 100m views pilih baik,sindir anies baswedan apbd besar kok mas anies failed pimpin jakarta gaco anies earthquake daesang morning batter up 100m views choose well
16,yang bilang anies modal kata doang pacar eco park tebet musuhin aja,who said anies modal said doang boyfriend eco park tebet musuhin just
17,sayang banyak msh dukung anies dateng mas baru di lampung kemaren berani bgt ya juga kayak bilang takut sih kalo hadepan lgsg buat desak anies wkwk,dear many MSH support anies dateng mas baru di lampung kemaren dare bgt ya also like to say scared anyway if the front hado lgsg to urge anies wkwk
18,anies pks,anies pks
19,gerindra bantah soal anies bilang bisnis macet gegara jadi oposisi,gerindra argues about anies saying the business is stuck in the country so the opposition
20,anies ikut kubur harun tahun 2019 berita apakah kata hoax padahal beliau ikut kubur,anies participates in harun's grave in 2019 what news is the word hoax even though he participates in the grave
21,anies baswedan jawab tanya debat bukti nyata kerja sangat muas,anies baswedan answered the debate the real proof of work is very sick
22,anies tuh cerdas utama soal janji transportasi jaklingko mau rekrut pak iganisus pilih sudah banyak tadi nya kurang bijak aja harus bawa ulama gimana kalo pendetapastorpemimpin agama juga timbang opini nya hanya cuman ulama,anies is the main intelligent about the promise of transportation jaklingko want to recruit sir iganisus choose already a lot earlier it's not wise to have to bring scholars what if pendetapastorpemimpin religion also weighs his opinion only ulama
23,karakter wowo vs anies jauh lah bangmbok legowo ajaanies simpati publik luas sedang wowo sebaliknyasesederhana dipahaminyajgn kita jd parasocial relationship disorder,character wowo vs anies is far from bangmbok legowo ajaanies sympathy of the wider public is wowo behind it is simple to understand don't we jd parasocial relationship disorder
24,kalau ga kerja bidang nya jago nyindir orang anies,if you don't work in the field you are good at insinuating people anies
25,paragraf satu udah dijelasin sama pa anies sendiri tonton geh video biar paham konteks ape2 ditelen mentah2 paragraf dua nama pamrih kata paling ikhlas ko ungkit ko nyapres paragraf tiga etika kata bro awokwokwok mending ngaca dulu dah,paragraph one has been explained the same pa anies himself watch geh video so that he understands the context of ape2 in raw 2 paragraphs two names of the most sincere words of the most sincere words ko leverage ko nyapres paragraph three ethics word bro awokwokwok mending ngaca first
26,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang pagi batter up 100m views pilih baik,speak according to the fact anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang morning batter up 100m views choose well
27,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up 100m views pilih baik,sindir anies baswedan apbd besar kok mas anies failed pimpin jakarta gaco anies earthquake daesang morning batter up 100m views choose well
28,itu anak anies emang cantik banget senyum,that's really pretty anies kid smiling
29,anies selalu komitmen wujud ubah positif baik masyarakat negara,anies is always committed to positive change in the country's society
30,menang anies gub dki klaim penuh gerindra baik dukung modal logistik sungguh sombong hilang jasa2 partai2 relawan2 rakyat dki pilgub dki lebih jasa,win anies gub dki claim full gerindra well support capital logistics really arrogant lost the services of parties 2 people volunteers dki pilgub dki more services
31,lama masa jabat gubernur anies pimpin bagai proyekpembangunan sejahtera rakyat,the length of the term of office of governor anies led like a people's prosperous development project
32,anies baswedan ajak warga tunjuk kuat bangsa semangat juang,anies baswedan invites residents to show strong fighting spirit nation
33,pikir anies debat perdana sedikit mampu cipta ubah positif masyarakat,thought anies the inaugural debate was a little able to create positive changes in society
34,anies angkat alis tidakk adad tidakk pernah ada guna fakedeep aidasar buzzer polri suka buat fitnah,anies raised his eyebrows no no no no no never used fakedeep aidasar buzzer polri likes to make slander
35,2019 anies jd gubernur ikut pilpres krn 2024 anies calon nasdem apa salah nasdem jeli krn negara butuh sosok anies rakyat ubah adil sosial seluruh rakyat indonesia,2019 anies jd governor participated in the presidential election because 2024 anies nasdem candidate what is wrong nasdem jelly krn the state needs the figure of anies the people change the social justice of all Indonesian people
36,bagai inisiatif kembang jakarta anies jadi contoh nyata banyak orang,"like the Jakarta development initiative, anies is a real example of many people"
37,ordal anies profesional integritas,ordal anies professional integrity
38,anies baswedan muhaimin iskandar dong indonesia lebih baik,anies baswedan muhaimin iskandar dong indonesia better
39,debat banyak buah pikir anies pada akhir memang benarbenar manfaat cerdas warga negara,debate many pieces of thinking anies at the end is really the benefits of smart citizens
40,udah rahasia umum lah ga usah tutup bagaimana anies nikmat politik identitas dia betulbetul ambil untung,"already an open secret, don't you need to close how anies favors identity politics, he really takes advantage"
41,anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure"
42,org cerdas paham apa sampai pak anies klo otak cetek males mikir nilai njelimet,smart people understand what to pack anies clo shallow brain males think the value of njelimet
